n_steps,time,mean_reward
148,0h1min10s,0.57
306,0h2min11s,0.64
447,0h3min12s,0.69
647,0h4min13s,0.74
835,0h5min15s,0.75
1026,0h6min18s,0.77
1196,0h7min19s,0.79
1367,0h8min22s,0.82
1581,0h9min22s,0.82
1847,0h10min25s,0.8
2128,0h11min25s,0.8
2368,0h12min26s,0.8
2634,0h13min28s,0.79
2907,0h14min29s,0.79
3181,0h15min30s,0.79
3464,0h16min31s,0.81
3806,0h17min33s,0.84
4197,0h18min35s,0.87
4556,0h19min37s,0.88
4936,0h20min41s,0.88
5343,0h21min41s,0.9
5737,0h22min44s,0.9
6160,0h23min45s,0.89
6640,0h24min46s,0.89
7134,0h25min48s,0.91
7590,0h26min49s,0.92
8128,0h27min49s,0.92
8691,0h28min51s,0.92
9297,0h29min51s,0.92
10035,0h30min53s,0.91
10740,0h31min54s,0.93
11252,0h32min54s,0.93
12139,0h33min55s,0.92
13116,0h34min56s,0.94
14578,0h35min56s,0.94
16242,0h36min57s,0.97
18007,0h37min58s,0.98
19845,0h38min58s,0.98
22584,0h39min58s,0.98
25980,0h41min0s,0.98
28423,0h42min0s,0.98
32962,0h43min0s,0.99
39819,0h44min0s,1.0
57972,0h45min0s,1.0
97079,0h46min0s,0.99
141614,0h47min0s,1.0
199268,0h48min0s,1.0
262570,0h49min1s,1.0
335080,0h50min1s,1.0
398051,0h51min1s,1.0
