n_steps,time,mean_reward
79,0h1min11s,0.55
259,0h2min23s,0.61
442,0h3min23s,0.67
535,0h4min26s,0.69
665,0h5min28s,0.7
841,0h6min31s,0.69
1059,0h7min35s,0.72
1229,0h8min37s,0.76
1438,0h9min41s,0.78
1688,0h10min43s,0.78
1965,0h11min47s,0.82
2251,0h12min47s,0.82
2525,0h13min51s,0.82
2771,0h14min54s,0.82
3052,0h15min56s,0.83
3349,0h16min56s,0.84
3695,0h17min57s,0.84
3982,0h18min57s,0.85
4309,0h19min59s,0.86
4674,0h21min0s,0.87
5007,0h22min0s,0.88
5377,0h23min1s,0.88
5712,0h24min3s,0.88
6078,0h25min4s,0.87
6332,0h26min6s,0.87
6623,0h27min6s,0.88
6996,0h28min6s,0.88
7398,0h29min8s,0.9
7880,0h30min9s,0.91
8361,0h31min9s,0.92
8947,0h32min11s,0.93
9426,0h33min11s,0.95
10061,0h34min13s,0.96
10679,0h35min13s,0.95
11265,0h36min14s,0.96
11843,0h37min14s,0.96
12493,0h38min14s,0.95
13294,0h39min15s,0.96
14077,0h40min15s,0.96
14950,0h41min16s,0.96
16015,0h42min16s,0.97
16960,0h43min17s,0.97
18172,0h44min20s,0.98
19094,0h45min20s,0.99
20143,0h46min20s,0.98
21777,0h47min21s,0.99
23689,0h48min22s,0.99
25453,0h49min23s,1.0
27057,0h50min23s,0.98
29465,0h51min24s,0.99
