n_steps,time,mean_reward,mean_length
818,0h0min4s,0.36,81.8
1409,0h0min12s,0.33,70.45
2266,0h0min31s,0.33,75.53
3017,0h0min48s,0.33,75.42
3748,0h1min6s,0.33,74.96
4256,0h1min19s,0.32,67.73
4998,0h1min37s,0.31,70.94
5593,0h1min51s,0.31,68.33
6379,0h2min10s,0.3,67.04
7160,0h2min27s,0.29,68.86
8181,0h2min50s,0.29,77.75
9077,0h3min9s,0.29,81.94
10011,0h3min29s,0.27,87.18
10863,0h3min46s,0.28,89.51
11474,0h4min1s,0.26,87.63
12243,0h4min20s,0.24,81.0
13261,0h4min43s,0.26,83.12
13976,0h4min59s,0.28,79.71
14813,0h5min18s,0.27,79.41
15633,0h5min38s,0.29,81.63
16549,0h5min59s,0.3,86.39
17588,0h6min23s,0.3,87.76
18277,0h6min40s,0.28,87.1
19049,0h6min58s,0.27,83.53
19712,0h7min14s,0.25,81.94
20452,0h7min29s,0.25,77.61
21377,0h7min50s,0.25,75.1
22184,0h8min7s,0.25,76.94
22866,0h8min24s,0.25,75.49
23391,0h8min37s,0.27,74.1
24293,0h8min59s,0.27,75.94
24948,0h9min15s,0.26,71.98
25602,0h9min30s,0.25,67.39
26292,0h9min46s,0.25,69.14
27024,0h10min4s,0.24,71.96
27736,0h10min20s,0.25,68.25
28478,0h10min36s,0.25,69.76
28965,0h10min49s,0.25,67.9
29860,0h11min10s,0.27,70.37
30529,0h11min25s,0.27,70.69
31278,0h11min43s,0.29,69.82
32115,0h12min1s,0.3,73.27
32841,0h12min18s,0.3,77.47
33505,0h12min34s,0.29,73.43
34189,0h12min49s,0.3,74.39
35070,0h13min9s,0.27,76.31
35853,0h13min27s,0.26,74.1
36393,0h13min41s,0.25,72.24
37444,0h14min1s,0.27,79.04
38137,0h14min17s,0.27,79.37
38788,0h14min33s,0.27,74.86
39764,0h14min53s,0.28,77.2
40484,0h15min10s,0.29,82.18
41265,0h15min30s,0.29,76.88
41950,0h15min46s,0.28,75.71
42680,0h16min3s,0.29,77.35
43097,0h16min13s,0.27,67.31
43717,0h16min28s,0.28,63.86
44507,0h16min46s,0.27,65.53
45334,0h17min6s,0.28,68.31
46154,0h17min24s,0.29,70.08
46908,0h17min41s,0.28,75.1
47608,0h17min59s,0.29,78.25
48125,0h18min12s,0.29,74.24
48950,0h18min31s,0.28,74.65
49840,0h18min51s,0.28,74.24
50382,0h19min3s,0.28,70.08
51104,0h19min20s,0.29,70.51
52039,0h19min41s,0.27,77.53
52883,0h20min1s,0.27,79.08
53467,0h20min15s,0.25,74.59
54161,0h20min31s,0.25,75.1
55047,0h20min53s,0.24,79.04
55747,0h21min10s,0.26,73.33
56529,0h21min29s,0.26,73.45
57082,0h21min44s,0.25,72.84
58002,0h22min5s,0.27,75.51
58834,0h22min26s,0.28,74.86
59498,0h22min43s,0.26,74.27
60110,0h22min58s,0.27,72.18
60838,0h23min18s,0.28,74.04
61730,0h23min39s,0.29,75.06
62505,0h23min56s,0.27,74.75
63268,0h24min14s,0.28,74.53
64330,0h24min40s,0.29,84.71
65005,0h24min57s,0.28,83.67
65666,0h25min14s,0.27,79.14
66301,0h25min29s,0.26,77.25
67163,0h25min50s,0.25,78.33
67909,0h26min10s,0.25,73.14
68829,0h26min33s,0.21,76.94
69617,0h26min54s,0.19,79.43
70555,0h27min18s,0.19,85.37
71499,0h27min44s,0.17,86.98
72406,0h28min7s,0.15,91.82
73246,0h28min29s,0.17,88.57
74206,0h28min52s,0.15,90.78
75041,0h29min12s,0.15,89.92
75915,0h29min36s,0.15,88.55
76817,0h30min0s,0.16,88.45
77582,0h30min19s,0.17,87.29
78419,0h30min39s,0.21,84.57
79125,0h30min58s,0.22,82.04
79982,0h31min22s,0.25,81.71
80805,0h31min46s,0.28,79.02
81505,0h32min7s,0.27,77.27
