n_steps,time,mean_reward
2,0h2min34s,0.12
14,0h5min33s,0.19
33,0h8min51s,0.22
68,0h11min54s,0.22
85,0h14min48s,0.21
100,0h17min43s,0.21
138,0h18min55s,0.23
139,0h21min27s,0.23
206,0h22min31s,0.25
216,0h24min58s,0.25
331,0h26min9s,0.28
464,0h27min31s,0.29
564,0h28min32s,0.31
590,0h31min30s,0.3
643,0h32min48s,0.31
670,0h35min8s,0.31
745,0h36min11s,0.32
837,0h37min18s,0.33
1029,0h38min31s,0.35
1251,0h39min37s,0.37
1378,0h42min30s,0.39
1612,0h43min43s,0.41
2124,0h44min45s,0.43
2640,0h45min51s,0.46
2965,0h46min54s,0.49
3331,0h48min55s,0.51
3726,0h49min55s,0.52
3974,0h50min56s,0.55
4337,0h52min2s,0.58
4848,0h53min10s,0.61
5256,0h54min12s,0.63
5485,0h55min28s,0.64
6022,0h56min32s,0.66
6710,0h57min36s,0.68
6957,0h59min3s,0.69
7559,1h0min11s,0.7
8500,1h1min21s,0.72
9033,1h2min27s,0.73
9888,1h3min28s,0.73
10301,1h4min33s,0.74
10773,1h5min35s,0.74
11344,1h6min36s,0.75
12521,1h7min45s,0.76
13550,1h8min51s,0.76
14273,1h9min54s,0.76
15093,1h10min59s,0.76
15772,1h12min1s,0.76
16497,1h13min7s,0.76
17203,1h14min15s,0.77
17804,1h15min18s,0.77
