n_steps,time,mean_reward
5,0h2min54s,0.17
54,0h5min41s,0.34
74,0h8min33s,0.26
83,0h11min23s,0.24
103,0h12min25s,0.27
121,0h15min7s,0.25
127,0h17min55s,0.24
149,0h20min58s,0.25
181,0h22min0s,0.26
184,0h24min33s,0.25
193,0h25min35s,0.25
194,0h28min9s,0.25
223,0h29min59s,0.24
250,0h31min2s,0.25
274,0h34min20s,0.24
282,0h35min32s,0.25
313,0h36min44s,0.25
335,0h37min45s,0.25
351,0h40min41s,0.24
353,0h43min16s,0.24
373,0h45min24s,0.24
451,0h46min52s,0.25
454,0h49min26s,0.25
553,0h50min34s,0.26
