n_steps,time,mean_reward
7,0h2min39s,0.12
8,0h5min14s,0.08
35,0h6min23s,0.26
48,0h7min32s,0.23
80,0h8min42s,0.23
89,0h11min18s,0.21
91,0h13min52s,0.21
104,0h16min51s,0.2
161,0h17min51s,0.23
188,0h18min59s,0.24
208,0h21min45s,0.25
220,0h24min26s,0.25
248,0h27min25s,0.25
250,0h29min56s,0.25
257,0h32min32s,0.24
313,0h35min35s,0.26
380,0h36min35s,0.27
463,0h37min47s,0.29
485,0h40min26s,0.29
529,0h41min45s,0.3
566,0h44min26s,0.31
663,0h45min58s,0.33
779,0h49min15s,0.34
816,0h50min39s,0.34
943,0h51min43s,0.36
1245,0h52min56s,0.39
1544,0h54min35s,0.42
2028,0h55min41s,0.46
2287,0h58min46s,0.47
2724,0h59min47s,0.49
3030,1h0min48s,0.52
3067,1h1min50s,0.52
3332,1h2min58s,0.53
3529,1h4min1s,0.55
