n_steps,time,mean_reward
39,0h3min21s,0.28
52,0h6min18s,0.26
53,0h8min49s,0.23
55,0h11min22s,0.22
61,0h13min55s,0.2
67,0h17min12s,0.2
95,0h18min27s,0.23
100,0h21min1s,0.23
104,0h23min36s,0.22
110,0h26min10s,0.21
146,0h29min8s,0.23
162,0h31min47s,0.23
224,0h32min59s,0.25
267,0h34min3s,0.25
287,0h35min58s,0.25
302,0h38min58s,0.25
351,0h40min5s,0.26
384,0h41min15s,0.26
437,0h42min20s,0.26
449,0h44min16s,0.27
476,0h45min33s,0.27
499,0h47min20s,0.27
554,0h50min9s,0.27
680,0h51min16s,0.29
822,0h52min22s,0.32
839,0h55min33s,0.32
906,0h56min37s,0.34
1053,0h57min47s,0.36
1177,0h58min52s,0.37
1181,1h1min24s,0.37
1405,1h2min28s,0.41
1494,1h3min28s,0.43
1736,1h4min29s,0.45
