n_steps,time,mean_reward
5,0h1min36s,0.6
12,0h4min54s,0.67
19,0h6min31s,0.7
24,0h7min52s,0.72
26,0h10min16s,0.63
30,0h11min24s,0.57
37,0h13min9s,0.53
47,0h14min26s,0.51
57,0h15min36s,0.4
65,0h16min47s,0.39
84,0h18min9s,0.41
87,0h19min21s,0.4
113,0h20min40s,0.41
118,0h21min56s,0.4
126,0h23min4s,0.4
131,0h24min16s,0.38
154,0h26min48s,0.39
215,0h28min25s,0.41
234,0h30min21s,0.43
330,0h33min37s,0.45
380,0h35min48s,0.47
549,0h36min50s,0.48
756,0h37min52s,0.48
1023,0h38min52s,0.5
1302,0h40min25s,0.52
1720,0h41min32s,0.53
2475,0h42min35s,0.55
