n_steps,time,mean_reward
3,0h1min17s,0.1
9,0h2min36s,0.45
13,0h3min57s,0.43
15,0h6min19s,0.4
21,0h7min32s,0.42
23,0h8min45s,0.38
27,0h9min55s,0.38
31,0h11min42s,0.38
35,0h13min53s,0.36
44,0h15min11s,0.38
57,0h16min32s,0.34
75,0h17min56s,0.37
84,0h19min49s,0.37
104,0h21min8s,0.4
134,0h23min13s,0.4
154,0h24min37s,0.4
160,0h25min53s,0.39
167,0h28min36s,0.41
188,0h31min42s,0.42
199,0h32min56s,0.41
205,0h34min58s,0.43
213,0h37min10s,0.43
225,0h38min42s,0.43
233,0h40min15s,0.43
262,0h41min58s,0.47
267,0h43min31s,0.48
281,0h45min3s,0.48
326,0h46min46s,0.51
348,0h48min7s,0.52
410,0h50min10s,0.55
652,0h51min43s,0.6
907,0h52min43s,0.61
1303,0h53min52s,0.61
2674,0h54min55s,0.62
