n_steps,time,mean_reward
2,0h1min9s,0.0
3,0h4min45s,0.0
9,0h5min56s,0.08
13,0h7min19s,0.13
24,0h8min37s,0.24
30,0h10min4s,0.23
32,0h11min30s,0.27
58,0h12min59s,0.3
73,0h14min13s,0.34
90,0h15min57s,0.32
107,0h17min57s,0.36
124,0h19min22s,0.37
173,0h20min22s,0.39
179,0h21min47s,0.4
214,0h22min48s,0.41
235,0h23min56s,0.41
276,0h25min3s,0.42
282,0h27min16s,0.42
336,0h29min4s,0.46
387,0h30min4s,0.44
412,0h31min6s,0.45
466,0h32min6s,0.44
688,0h33min57s,0.46
944,0h37min32s,0.46
1332,0h38min40s,0.47
