n_steps,time,mean_reward
121,0h1min0s,0.49
323,0h2min4s,0.59
501,0h3min6s,0.6
700,0h4min10s,0.63
939,0h5min10s,0.68
1204,0h6min10s,0.73
1494,0h7min10s,0.78
1818,0h8min13s,0.82
2189,0h9min13s,0.83
2574,0h10min14s,0.86
2989,0h11min15s,0.9
3426,0h12min16s,0.9
3906,0h13min18s,0.91
4481,0h14min19s,0.91
5090,0h15min21s,0.92
5911,0h16min21s,0.93
6941,0h17min21s,0.95
8351,0h18min21s,0.97
10450,0h19min22s,0.97
12342,0h20min22s,0.98
15304,0h21min22s,1.0
20832,0h22min23s,0.99
30828,0h23min24s,1.0
38113,0h24min25s,0.99
50259,0h25min25s,1.0
60006,0h26min25s,1.0
88044,0h27min25s,1.0
116484,0h28min25s,1.0
145752,0h29min26s,1.0
183349,0h30min26s,1.0
215558,0h31min26s,1.0
250333,0h32min26s,1.0
