n_steps,time,mean_reward
207,0h1min2s,0.55
351,0h2min9s,0.6
561,0h3min10s,0.66
816,0h4min20s,0.68
1038,0h5min22s,0.72
1216,0h6min22s,0.75
1544,0h7min24s,0.79
1854,0h8min26s,0.82
2188,0h9min26s,0.86
2500,0h10min27s,0.89
2814,0h11min29s,0.89
3149,0h12min30s,0.89
3534,0h13min31s,0.88
3961,0h14min34s,0.87
4340,0h15min36s,0.89
4770,0h16min37s,0.91
5254,0h17min37s,0.95
5681,0h18min38s,0.94
6109,0h19min38s,0.94
6712,0h20min38s,0.95
7327,0h21min39s,0.97
8059,0h22min39s,0.98
9051,0h23min39s,0.97
10131,0h24min40s,0.98
11332,0h25min43s,0.98
12553,0h26min43s,0.98
14153,0h27min43s,0.99
16102,0h28min44s,0.99
18008,0h29min44s,0.98
20008,0h30min44s,0.98
21962,0h31min45s,0.99
25336,0h32min45s,1.0
