n_steps,time,mean_reward
149,0h1min3s,0.61
326,0h2min3s,0.64
545,0h3min4s,0.65
832,0h4min5s,0.68
1080,0h5min7s,0.72
1315,0h6min9s,0.77
1604,0h7min14s,0.83
1859,0h8min20s,0.84
2293,0h9min21s,0.86
2638,0h10min21s,0.86
3006,0h11min28s,0.88
3412,0h12min30s,0.9
3795,0h13min31s,0.91
4159,0h14min32s,0.91
4607,0h15min33s,0.9
5073,0h16min33s,0.91
5583,0h17min34s,0.92
6171,0h18min35s,0.95
6779,0h19min35s,0.94
7458,0h20min35s,0.9
8162,0h21min36s,0.91
9020,0h22min36s,0.95
9726,0h23min37s,0.94
10445,0h24min38s,0.95
11242,0h25min39s,0.96
12132,0h26min40s,0.97
12974,0h27min41s,0.98
13802,0h28min42s,0.97
15053,0h29min42s,0.97
16293,0h30min42s,0.98
17898,0h31min42s,0.98
20731,0h32min43s,0.99
