Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.03,0h0min0s,-939.967529296875
404.3459532260895,1000,0.21,0h6min44s,-579.8438110351562
581.4796643257141,1500,0.51,0h9min41s,20.32537269592285
685.7195563316345,2000,0.66,0h11min25s,320.40496826171875
782.6804802417755,2500,0.79,0h13min2s,580.4823608398438
870.0753266811371,3000,0.82,0h14min30s,640.481689453125
951.715678691864,3500,0.89,0h15min51s,780.5252685546875
1036.0868661403656,4000,0.93,0h17min16s,860.544677734375
1119.9815411567688,4500,0.93,0h18min39s,860.5418701171875
1203.7163784503937,5000,0.95,0h20min3s,900.5543823242188
1285.2755179405212,5500,0.98,0h21min25s,960.5640869140624
1368.0460472106934,6000,0.97,0h22min48s,940.5579223632812
1453.043702125549,6500,0.94,0h24min13s,880.55322265625
1535.0392842292786,7000,0.98,0h25min35s,960.5656127929688
1615.6742062568665,7500,0.98,0h26min55s,960.5623779296876
1697.783989429474,8000,0.99,0h28min17s,980.5681762695312
1777.9485743045807,8500,0.98,0h29min37s,960.5612182617188
1860.080005645752,9000,0.97,0h31min0s,940.5620727539062
1939.3313038349152,9500,0.99,0h32min19s,980.5671997070312
2018.193329334259,10000,0.97,0h33min38s,940.5618896484376
