n_steps,time,mean_reward
194,0h1min0s,0.69
482,0h2min0s,0.66
836,0h3min1s,0.68
1228,0h4min1s,0.72
1670,0h5min1s,0.77
2149,0h6min1s,0.81
2700,0h7min2s,0.84
3301,0h8min2s,0.88
3986,0h9min2s,0.91
4520,0h10min3s,0.9
5090,0h11min3s,0.91
5917,0h12min3s,0.92
7216,0h13min4s,0.95
8531,0h14min4s,0.94
9651,0h15min4s,0.96
11372,0h16min4s,0.96
13047,0h17min5s,0.97
16662,0h18min5s,0.97
23804,0h19min5s,0.99
37832,0h20min6s,1.0
66010,0h21min6s,0.99
96339,0h22min6s,1.0
133596,0h23min6s,1.0
170785,0h24min6s,1.0
201877,0h25min6s,1.0
231860,0h26min6s,1.0
