n_steps,time,mean_reward
184,0h1min0s,0.52
430,0h2min3s,0.57
740,0h3min3s,0.62
1114,0h4min6s,0.7
1544,0h5min6s,0.78
1961,0h6min7s,0.83
2372,0h7min8s,0.89
2787,0h8min9s,0.9
3255,0h9min11s,0.9
3786,0h10min12s,0.89
4344,0h11min13s,0.9
5045,0h12min14s,0.92
5846,0h13min14s,0.92
6681,0h14min15s,0.94
7625,0h15min16s,0.95
8535,0h16min17s,0.94
9808,0h17min17s,0.95
11251,0h18min17s,0.95
13168,0h19min18s,0.96
16840,0h20min18s,0.98
20435,0h21min18s,0.98
28204,0h22min18s,0.99
46762,0h23min20s,1.0
78635,0h24min20s,1.0
106188,0h25min20s,1.0
127901,0h26min20s,1.0
