n_steps,time,mean_reward
128,0h1min1s,0.49
300,0h2min5s,0.57
486,0h3min8s,0.62
673,0h4min11s,0.65
873,0h5min14s,0.69
1056,0h6min14s,0.7
1247,0h7min16s,0.73
1443,0h8min18s,0.79
1654,0h9min22s,0.81
1880,0h10min23s,0.85
2108,0h11min28s,0.86
2341,0h12min29s,0.88
2587,0h13min29s,0.9
2851,0h14min30s,0.91
3108,0h15min32s,0.91
3370,0h16min32s,0.92
3622,0h17min35s,0.93
3875,0h18min38s,0.94
4154,0h19min42s,0.95
4433,0h20min43s,0.96
4730,0h21min46s,0.97
5057,0h22min46s,0.96
5430,0h23min46s,0.96
5812,0h24min47s,0.96
6134,0h25min48s,0.96
6500,0h26min49s,0.97
6930,0h27min51s,0.96
7316,0h28min53s,0.97
7761,0h29min53s,0.97
8268,0h30min55s,0.98
8757,0h31min55s,0.98
9336,0h32min58s,0.98
9763,0h34min2s,0.96
10088,0h35min5s,0.95
10573,0h36min6s,0.95
11091,0h37min6s,0.96
11678,0h38min7s,0.97
12271,0h39min7s,0.97
12983,0h40min8s,0.98
13819,0h41min8s,0.99
14768,0h42min8s,0.99
16094,0h43min10s,0.99
17064,0h44min12s,0.99
18415,0h45min14s,0.99
20237,0h46min16s,0.98
21684,0h47min16s,0.99
23490,0h48min17s,1.0
26212,0h49min18s,1.0
28576,0h50min19s,1.0
32032,0h51min20s,1.0
35626,0h52min20s,1.0
39612,0h53min21s,0.99
47777,0h54min21s,1.0
59891,0h55min21s,1.0
75089,0h56min21s,1.0
94725,0h57min22s,1.0
128052,0h58min22s,1.0
171837,0h59min22s,1.0
214974,1h0min23s,1.0
243092,1h1min23s,1.0
280664,1h2min23s,1.0
340936,1h3min23s,1.0
389492,1h4min23s,1.0
421931,1h5min23s,1.0
456746,1h6min23s,1.0
492143,1h7min23s,1.0
525128,1h8min23s,1.0
561113,1h9min23s,1.0
593483,1h10min23s,1.0
623318,1h11min23s,1.0
656153,1h12min23s,1.0
686258,1h13min23s,1.0
717518,1h14min23s,1.0
745688,1h15min23s,1.0
772613,1h16min23s,1.0
798833,1h17min23s,1.0
830948,1h18min23s,1.0
855788,1h19min23s,1.0
883187,1h20min23s,1.0
911882,1h21min23s,1.0
937202,1h22min23s,1.0
978325,1h23min23s,1.0
1036573,1h24min23s,1.0
1115658,1h25min23s,1.0
1196973,1h26min23s,1.0
1267773,1h27min23s,1.0
1344048,1h28min23s,1.0
1424838,1h29min23s,1.0
1492488,1h30min23s,1.0
1561773,1h31min23s,1.0
1635648,1h32min23s,1.0
1707423,1h33min23s,1.0
1771293,1h34min23s,1.0
1849833,1h35min23s,1.0
1914183,1h36min23s,1.0
1974393,1h37min23s,1.0
2035143,1h38min23s,1.0
2096418,1h39min23s,1.0
2153208,1h40min23s,1.0
2211348,1h41min23s,1.0
2263908,1h42min23s,1.0
2314623,1h43min23s,1.0
2368413,1h44min23s,1.0
2425248,1h45min23s,1.0
2480433,1h46min23s,1.0
2536918,1h47min24s,1.0
2572869,1h48min24s,1.0
2602762,1h49min24s,1.0
2631307,1h50min24s,1.0
2659027,1h51min24s,1.0
2693647,1h52min24s,1.0
2733352,1h53min24s,1.0
2756467,1h54min24s,1.0
2783062,1h55min24s,1.0
2823217,1h56min24s,1.0
2859082,1h57min24s,1.0
2894208,1h58min24s,1.0
2928556,1h59min24s,1.0
2964074,2h0min24s,1.0
3003554,2h1min24s,1.0
3041579,2h2min24s,1.0
3079019,2h3min24s,1.0
3115408,2h4min24s,1.0
3152295,2h5min24s,1.0
3187776,2h6min24s,1.0
3226386,2h7min24s,1.0
3264130,2h8min24s,1.0
3303131,2h9min24s,1.0
3339596,2h10min24s,1.0
3373781,2h11min24s,1.0
3409646,2h12min24s,1.0
3446351,2h13min24s,1.0
3480034,2h14min24s,1.0
3517309,2h15min24s,1.0
3556024,2h16min24s,1.0
3591349,2h17min24s,1.0
3625054,2h18min24s,1.0
3662404,2h19min24s,1.0
3694489,2h20min24s,1.0
3722584,2h21min24s,1.0
3760069,2h22min24s,1.0
3791719,2h23min25s,1.0
3823594,2h24min25s,1.0
3856159,2h25min25s,1.0
3894739,2h26min25s,1.0
3929224,2h27min25s,1.0
3956839,2h28min26s,1.0
3995254,2h29min26s,1.0
4034944,2h30min26s,1.0
4073269,2h31min26s,1.0
4111009,2h32min26s,1.0
4146094,2h33min26s,1.0
4182304,2h34min26s,1.0
4216789,2h35min26s,1.0
4257964,2h36min26s,1.0
4299424,2h37min26s,1.0
4337029,2h38min26s,1.0
4377769,2h39min26s,1.0
4446634,2h40min26s,1.0
4530124,2h41min26s,1.0
4598764,2h42min26s,1.0
4667524,2h43min26s,1.0
4734919,2h44min26s,1.0
4814539,2h45min26s,1.0
4876024,2h46min26s,1.0
4948669,2h47min26s,1.0
5020924,2h48min26s,1.0
5098774,2h49min26s,1.0
5170954,2h50min26s,1.0
5242444,2h51min26s,1.0
5309689,2h52min26s,1.0
5375194,2h53min26s,1.0
5446069,2h54min26s,1.0
5523769,2h55min26s,1.0
5607334,2h56min26s,1.0
5670979,2h57min26s,1.0
5731294,2h58min26s,1.0
5767024,2h59min26s,1.0
5803684,3h0min26s,1.0
5841649,3h1min26s,1.0
5873704,3h2min26s,1.0
5902159,3h3min26s,1.0
5934289,3h4min26s,1.0
5972854,3h5min26s,1.0
6012199,3h6min26s,1.0
6048904,3h7min26s,1.0
6086974,3h8min26s,1.0
6126469,3h9min26s,1.0
6162169,3h10min26s,1.0
6196429,3h11min26s,1.0
6233509,3h12min26s,1.0
6270739,3h13min26s,1.0
6306889,3h14min26s,1.0
6343549,3h15min26s,1.0
6376789,3h16min26s,1.0
6408364,3h17min26s,1.0
6442834,3h18min26s,1.0
6475669,3h19min26s,1.0
6506149,3h20min26s,1.0
6539719,3h21min26s,1.0
6572629,3h22min26s,1.0
6608899,3h23min26s,1.0
6647764,3h24min26s,1.0
6685459,3h25min26s,1.0
6718639,3h26min26s,1.0
6751219,3h27min27s,1.0
6781789,3h28min27s,1.0
6815314,3h29min27s,1.0
6847894,3h30min27s,1.0
6882799,3h31min27s,1.0
6915109,3h32min27s,1.0
6944929,3h33min27s,1.0
6979489,3h34min27s,1.0
7016914,3h35min27s,1.0
7054789,3h36min27s,1.0
7085884,3h37min27s,1.0
7114172,3h38min27s,1.0
7144577,3h39min27s,1.0
7182377,3h40min27s,1.0
7245390,3h41min27s,1.0
7309605,3h42min27s,1.0
7372755,3h43min27s,1.0
7448655,3h44min27s,1.0
7520595,3h45min27s,1.0
7588590,3h46min27s,1.0
7646445,3h47min27s,1.0
7709400,3h48min27s,1.0
7776465,3h49min27s,1.0
7847490,3h50min27s,1.0
7916415,3h51min27s,1.0
7995555,3h52min27s,1.0
8077020,3h53min27s,1.0
8152620,3h54min27s,1.0
8234820,3h55min27s,1.0
8310795,3h56min27s,1.0
8382795,3h57min27s,1.0
8440740,3h58min27s,1.0
8513100,3h59min27s,1.0
8588820,4h0min27s,1.0
8659230,4h1min27s,1.0
8729295,4h2min27s,1.0
8790495,4h3min27s,1.0
8859735,4h4min27s,1.0
8933415,4h5min27s,1.0
8996880,4h6min27s,1.0
9055665,4h7min27s,1.0
9130425,4h8min27s,1.0
9206880,4h9min27s,1.0
9257610,4h10min27s,1.0
9291840,4h11min27s,1.0
9323160,4h12min27s,1.0
9356415,4h13min27s,1.0
9386865,4h14min27s,1.0
9420180,4h15min27s,1.0
9453825,4h16min27s,1.0
9491805,4h17min27s,1.0
9528090,4h18min27s,1.0
9564000,4h19min27s,1.0
9598035,4h20min27s,1.0
9628395,4h21min27s,1.0
9659355,4h22min27s,1.0
9689595,4h23min27s,1.0
9722055,4h24min28s,1.0
9753390,4h25min28s,1.0
9785250,4h26min28s,1.0
9814438,4h27min28s,1.0
9844483,4h28min28s,1.0
9875499,4h29min28s,1.0
9903504,4h30min28s,1.0
9937479,4h31min28s,1.0
9969877,4h32min28s,1.0
10000657,4h33min28s,1.0
10035772,4h34min28s,1.0
10067782,4h35min28s,1.0
10089772,4h36min28s,1.0
10119037,4h37min28s,1.0
10148617,4h38min28s,1.0
10179592,4h39min28s,1.0
10208722,4h40min28s,1.0
10235392,4h41min28s,1.0
10263652,4h42min28s,1.0
10301077,4h43min28s,1.0
10338922,4h44min28s,1.0
10375192,4h45min28s,1.0
10416007,4h46min28s,1.0
10453477,4h47min28s,1.0
10491802,4h48min28s,1.0
10532197,4h49min28s,1.0
10571287,4h50min28s,1.0
10610182,4h51min28s,1.0
10646482,4h52min28s,1.0
10683172,4h53min28s,1.0
10721572,4h54min28s,1.0
10758277,4h55min28s,1.0
10796347,4h56min28s,1.0
10834567,4h57min28s,1.0
10875442,4h58min28s,1.0
10912387,4h59min28s,1.0
10945927,5h0min28s,1.0
10982092,5h1min28s,1.0
11020732,5h2min29s,1.0
11055562,5h3min29s,1.0
11095132,5h4min29s,1.0
11128627,5h5min29s,1.0
11164867,5h6min29s,1.0
11202127,5h7min29s,1.0
11239402,5h8min29s,1.0
11278492,5h9min29s,1.0
11313727,5h10min29s,1.0
11349202,5h11min29s,1.0
11386657,5h12min29s,1.0
11424277,5h13min29s,1.0
11457607,5h14min29s,1.0
11487997,5h15min29s,1.0
11520532,5h16min29s,1.0
11556892,5h17min29s,1.0
11591377,5h18min29s,1.0
11623537,5h19min29s,1.0
11657782,5h20min29s,1.0
11700457,5h21min29s,1.0
11734927,5h22min29s,1.0
11765572,5h23min29s,1.0
11797222,5h24min29s,1.0
11828362,5h25min29s,1.0
11858632,5h26min29s,1.0
11890582,5h27min29s,1.0
