n_steps,time,mean_reward
155,0h1min0s,0.47
327,0h2min2s,0.55
518,0h3min4s,0.63
725,0h4min5s,0.68
931,0h5min7s,0.7
1146,0h6min11s,0.73
1339,0h7min12s,0.79
1554,0h8min13s,0.83
1765,0h9min16s,0.81
2031,0h10min18s,0.82
2271,0h11min22s,0.83
2570,0h12min24s,0.84
2862,0h13min25s,0.84
3168,0h14min28s,0.88
3489,0h15min31s,0.9
3806,0h16min31s,0.91
4123,0h17min34s,0.91
4477,0h18min36s,0.92
4829,0h19min39s,0.93
5220,0h20min39s,0.93
5572,0h21min40s,0.95
6038,0h22min42s,0.95
6481,0h23min42s,0.93
7011,0h24min46s,0.91
7479,0h25min48s,0.9
8045,0h26min50s,0.91
8593,0h27min50s,0.93
9137,0h28min53s,0.96
9569,0h29min55s,0.95
9972,0h30min58s,0.94
10460,0h32min1s,0.93
10965,0h33min2s,0.94
11534,0h34min4s,0.96
12025,0h35min7s,0.93
12569,0h36min7s,0.93
13248,0h37min10s,0.94
13846,0h38min12s,0.95
14408,0h39min15s,0.96
15071,0h40min16s,0.96
15805,0h41min19s,0.97
16400,0h42min19s,0.98
17204,0h43min20s,0.98
18107,0h44min24s,0.97
18958,0h45min25s,0.98
19697,0h46min25s,0.98
20753,0h47min26s,0.98
21681,0h48min27s,0.97
22708,0h49min27s,0.97
24197,0h50min27s,0.99
25762,0h51min28s,0.99
27110,0h52min28s,0.99
28677,0h53min30s,0.99
29684,0h54min32s,0.98
