n_steps,time,mean_reward
4,0h3min3s,0.18
29,0h4min21s,0.32
78,0h6min10s,0.34
93,0h8min54s,0.31
127,0h10min32s,0.34
212,0h11min33s,0.38
262,0h12min34s,0.38
294,0h15min16s,0.38
308,0h17min14s,0.39
487,0h19min32s,0.42
734,0h20min34s,0.44
947,0h21min36s,0.45
1437,0h22min39s,0.47
1605,0h25min55s,0.48
2116,0h27min0s,0.52
2760,0h28min2s,0.55
3995,0h29min4s,0.59
5462,0h30min7s,0.62
6163,0h31min24s,0.65
6964,0h32min24s,0.67
8467,0h33min25s,0.7
9348,0h34min28s,0.73
10053,0h35min32s,0.73
11171,0h36min34s,0.74
12156,0h37min34s,0.75
12447,0h40min37s,0.74
13465,0h41min38s,0.75
13806,0h43min30s,0.75
14603,0h44min31s,0.76
15420,0h45min35s,0.78
15453,0h46min36s,0.77
