n_steps,time,mean_reward
11,0h2min6s,0.18
18,0h4min43s,0.15
27,0h7min21s,0.16
57,0h10min46s,0.21
58,0h13min20s,0.2
115,0h16min11s,0.24
191,0h17min13s,0.27
268,0h19min33s,0.26
332,0h20min34s,0.27
379,0h21min45s,0.27
418,0h23min13s,0.28
518,0h24min18s,0.29
701,0h25min21s,0.32
739,0h28min5s,0.33
955,0h29min12s,0.35
1109,0h30min16s,0.38
1243,0h31min20s,0.4
1474,0h32min31s,0.44
1566,0h33min51s,0.45
1813,0h35min1s,0.47
1939,0h36min22s,0.5
2110,0h38min43s,0.51
2250,0h41min44s,0.52
2620,0h42min48s,0.53
2919,0h43min50s,0.56
2998,0h46min50s,0.57
