n_steps,time,mean_reward
5,0h1min3s,0.42
7,0h4min39s,0.25
16,0h5min46s,0.27
24,0h6min55s,0.26
28,0h8min11s,0.28
35,0h9min17s,0.3
37,0h12min55s,0.28
54,0h14min10s,0.28
55,0h17min12s,0.27
70,0h18min19s,0.24
86,0h19min29s,0.26
104,0h20min47s,0.27
113,0h21min54s,0.27
128,0h23min13s,0.27
156,0h24min41s,0.29
167,0h25min43s,0.29
181,0h26min58s,0.29
248,0h28min31s,0.27
250,0h31min43s,0.27
293,0h33min12s,0.27
314,0h34min30s,0.28
344,0h35min38s,0.3
379,0h37min17s,0.29
417,0h38min30s,0.3
452,0h39min43s,0.3
460,0h43min27s,0.3
482,0h44min28s,0.31
500,0h45min57s,0.32
513,0h46min59s,0.32
529,0h50min21s,0.32
562,0h51min42s,0.33
608,0h53min16s,0.34
726,0h54min58s,0.35
814,0h57min5s,0.36
992,0h58min18s,0.36
1116,0h59min28s,0.37
