n_steps,time,mean_reward
6,0h1min2s,0.3
18,0h2min27s,0.24
48,0h3min37s,0.24
74,0h4min37s,0.24
97,0h5min49s,0.26
131,0h6min57s,0.27
158,0h7min58s,0.27
213,0h9min7s,0.27
274,0h10min13s,0.27
318,0h11min36s,0.28
375,0h13min2s,0.28
407,0h14min8s,0.29
456,0h15min14s,0.31
541,0h16min22s,0.36
581,0h17min35s,0.38
703,0h18min45s,0.45
768,0h19min46s,0.48
889,0h20min55s,0.52
1035,0h22min0s,0.54
1143,0h23min9s,0.54
1536,0h24min17s,0.62
1969,0h25min17s,0.73
2721,0h26min18s,0.78
3163,0h27min18s,0.84
4656,0h28min18s,0.89
6108,0h29min24s,0.96
7369,0h30min24s,0.95
8954,0h31min25s,0.99
10521,0h32min25s,0.99
12111,0h33min25s,0.98
13704,0h34min25s,0.99
15217,0h35min25s,0.99
16685,0h36min25s,0.99
18170,0h37min25s,1.0
19645,0h38min25s,1.0
21087,0h39min25s,1.0
