n_steps,time,mean_reward
6,0h1min0s,0.1
16,0h2min8s,0.14
28,0h3min12s,0.18
43,0h4min16s,0.18
59,0h5min25s,0.2
76,0h6min37s,0.2
109,0h8min4s,0.28
142,0h9min18s,0.28
180,0h10min55s,0.29
216,0h12min5s,0.28
273,0h13min7s,0.28
306,0h14min8s,0.29
333,0h15min14s,0.3
363,0h16min21s,0.31
395,0h17min24s,0.31
488,0h18min32s,0.33
552,0h19min33s,0.33
666,0h20min37s,0.4
751,0h21min54s,0.4
1067,0h22min59s,0.52
1634,0h23min59s,0.53
2367,0h25min0s,0.54
3574,0h26min0s,0.53
5092,0h27min0s,0.54
6576,0h28min0s,0.53
8083,0h29min0s,0.54
9581,0h30min0s,0.55
11068,0h31min0s,0.55
12542,0h32min0s,0.55
14019,0h33min0s,0.54
15521,0h34min1s,0.55
16996,0h35min1s,0.55
18446,0h36min1s,0.56
19921,0h37min1s,0.54
21406,0h38min1s,0.55
22958,0h39min1s,0.56
