n_steps,time,mean_reward
11,0h1min24s,0.06
26,0h2min26s,0.09
37,0h3min26s,0.1
67,0h4min40s,0.07
89,0h5min52s,0.08
117,0h7min8s,0.09
158,0h8min27s,0.11
204,0h9min36s,0.12
238,0h10min37s,0.14
276,0h11min41s,0.15
344,0h12min52s,0.18
406,0h13min58s,0.22
466,0h15min18s,0.24
548,0h16min48s,0.29
590,0h17min48s,0.3
727,0h19min18s,0.32
960,0h20min26s,0.38
1124,0h21min31s,0.43
1733,0h22min31s,0.51
2322,0h23min31s,0.50
3838,0h24min31s,0.52
5414,0h25min31s,0.53
7028,0h26min31s,0.52
8619,0h27min32s,0.52
10221,0h28min32s,0.53
11781,0h29min32s,0.52
13387,0h30min32s,0.52
14997,0h31min32s,0.53
16619,0h32min33s,0.54
18168,0h33min33s,0.54
19710,0h34min33s,0.52
21280,0h35min33s,0.54
22864,0h36min33s,0.53
24446,0h37min33s,0.54
26035,0h38min33s,0.54
27597,0h39min33s,0.55
