n_steps,time,mean_reward
8,0h2min42s,0.23
66,0h5min45s,0.33
257,0h6min47s,0.47
297,0h9min36s,0.45
457,0h10min38s,0.49
563,0h11min39s,0.5
753,0h12min41s,0.51
961,0h13min41s,0.53
1059,0h14min43s,0.53
1311,0h15min43s,0.54
1577,0h16min53s,0.56
1709,0h18min27s,0.57
1766,0h21min16s,0.56
1983,0h22min19s,0.59
2230,0h23min22s,0.59
2534,0h24min28s,0.62
2780,0h25min38s,0.63
2932,0h26min48s,0.63
3156,0h27min51s,0.64
3545,0h29min0s,0.66
3691,0h32min18s,0.66
4013,0h33min22s,0.67
4367,0h34min30s,0.69
4641,0h35min32s,0.71
4919,0h36min37s,0.72
5287,0h37min42s,0.73
5564,0h38min45s,0.74
5734,0h40min51s,0.75
6058,0h42min0s,0.75
