n_steps,time,mean_reward
101,0h3min28s,0.57
209,0h6min42s,0.43
288,0h7min43s,0.43
386,0h10min28s,0.45
396,0h11min49s,0.45
400,0h14min18s,0.45
561,0h15min59s,0.46
566,0h17min10s,0.46
801,0h18min18s,0.48
1068,0h19min19s,0.5
1469,0h20min22s,0.52
2066,0h21min25s,0.54
2530,0h22min27s,0.55
3250,0h23min34s,0.59
3785,0h24min36s,0.6
4394,0h25min40s,0.63
4981,0h26min59s,0.63
5667,0h28min1s,0.64
6352,0h29min3s,0.64
6998,0h30min6s,0.66
7340,0h31min16s,0.67
7928,0h32min52s,0.68
8573,0h33min54s,0.69
8611,0h34min58s,0.69
9247,0h36min1s,0.69
9795,0h37min1s,0.71
9809,0h39min26s,0.71
10460,0h40min29s,0.72
11317,0h41min31s,0.73
11900,0h42min34s,0.74
