n_steps,time,mean_reward
196,0h1min1s,0.67
434,0h2min1s,0.68
694,0h3min2s,0.72
987,0h4min2s,0.75
1279,0h5min2s,0.78
1584,0h6min3s,0.82
1899,0h7min4s,0.84
2249,0h8min6s,0.86
2609,0h9min7s,0.87
3003,0h10min10s,0.88
3346,0h11min11s,0.89
3735,0h12min12s,0.89
4120,0h13min14s,0.89
4540,0h14min16s,0.88
5036,0h15min16s,0.88
5528,0h16min17s,0.89
6036,0h17min18s,0.88
6466,0h18min19s,0.89
6970,0h19min21s,0.89
7413,0h20min22s,0.91
8007,0h21min23s,0.91
8584,0h22min25s,0.91
9207,0h23min26s,0.92
10075,0h24min27s,0.93
11071,0h25min27s,0.93
12170,0h26min28s,0.94
13425,0h27min28s,0.95
14668,0h28min29s,0.95
15709,0h29min29s,0.97
16941,0h30min31s,0.96
18702,0h31min31s,0.97
19943,0h32min32s,0.98
21232,0h33min33s,0.97
23204,0h34min34s,0.96
26607,0h35min34s,0.99
