Wall time,Step,mean_reward,time
0.0,500,0.5000666666999459,0h0min0s
6.368915319442749,1000,0.5000666666999459,0h0min6s
11.666306257247925,1500,0.5000666666999459,0h0min11s
18.969526052474976,2000,0.5000666666999459,0h0min18s
24.617494821548465,2500,0.5000666666999459,0h0min24s
30.04292178153992,3000,0.5000666666999459,0h0min30s
142.56535077095032,3500,0.5001071428954601,0h2min22s
200.5995481014252,4000,0.5001000000312924,0h3min20s
228.4259116649628,4500,0.5001000000312924,0h3min48s
258.42169761657715,5000,0.5001000000312924,0h4min18s
279.64428544044495,5500,0.5001000000312924,0h4min39s
285.27465057373047,6000,0.5001000000312924,0h4min45s
291.7700819969177,6500,0.5001000000312924,0h4min51s
337.50276923179626,7000,0.5001105263456702,0h5min37s
365.3230092525482,7500,0.5001105263456702,0h6min5s
376.910787820816,8000,0.5001105263456702,0h6min16s
383.4537765979767,8500,0.5001105263456702,0h6min23s
388.8275408744812,9000,0.5001105263456702,0h6min28s
410.9974219799042,9500,0.5001105263456702,0h6min50s
481.3095707893372,10000,0.5001231884360313,0h8min1s
505.3697245121002,10500,0.5001231884360313,0h8min25s
510.92113399505615,11000,0.5001231884360313,0h8min30s
535.4627158641815,11500,0.5001231884360313,0h8min55s
563.4022479057312,12000,0.5001231884360313,0h9min23s
591.0125029087067,12500,0.5001231884360313,0h9min51s
638.7490344047546,13000,0.5001306667029858,0h10min38s
667.2716464996338,13500,0.5001306667029858,0h11min7s
694.2911944389343,14000,0.5001306667029858,0h11min34s
699.6797404289246,14500,0.5001306667029858,0h11min39s
716.8094623088837,15000,0.5001306667029858,0h11min56s
736.0749001502991,15500,0.5001306667029858,0h12min16s
751.9225332736969,16000,0.5001333333700896,0h12min31s
757.9999918937683,16500,0.5001333333700896,0h12min37s
763.2275412082672,17000,0.5001333333700896,0h12min43s
783.5091869831085,17500,0.5001333333700896,0h13min3s
796.9304835796356,18000,0.5001333333700896,0h13min16s
805.1801707744598,18500,0.5001333333700896,0h13min25s
850.4321444034576,19000,0.5001392857283353,0h14min10s
856.1651248931885,19500,0.5001392857283353,0h14min16s
878.0864677429199,20000,0.5001392857283353,0h14min38s
905.5140597820282,20500,0.5001392857283353,0h15min5s
934.3060278892516,21000,0.5001392857283353,0h15min34s
962.2740249633788,21500,0.5001392857283353,0h16min2s
983.1498851776124,22000,0.500142528757453,0h16min23s
988.5674743652344,22500,0.500142528757453,0h16min28s
995.4802520275116,23000,0.500142528757453,0h16min35s
1003.6722683906556,23500,0.500142528757453,0h16min43s
1031.0840606689453,24000,0.500142528757453,0h17min11s
1057.916221857071,24500,0.500142528757453,0h17min37s
1116.580724477768,25000,0.5001447916924954,0h18min36s
1185.0004980564115,25500,0.5001425926089287,0h19min45s
1190.2512278556824,26000,0.5001425926089287,0h19min50s
1197.2918622493744,26500,0.5001425926089287,0h19min57s
1204.74463224411,27000,0.5001425926089287,0h20min4s
1210.1609818935394,27500,0.5001425926089287,0h20min10s
1229.6813006401062,28000,0.5001425926089287,0h20min29s
1273.8607859611511,28500,0.5001456140577794,0h21min13s
1292.9602899551392,29000,0.5001456140577794,0h21min32s
1319.7423567771912,29500,0.5001456140577794,0h21min59s
1347.2329223155975,30000,0.5001456140577794,0h22min27s
1374.7126371860504,30500,0.5001456140577794,0h22min54s
1394.4199585914612,31000,0.5001456140577794,0h23min14s
1417.859013795853,31500,0.5001487179547548,0h23min37s
1447.3204293251038,32000,0.5001500000059604,0h24min7s
1454.6597459316254,32500,0.5001500000059604,0h24min14s
1479.5217337608335,33000,0.5001500000059604,0h24min39s
1506.964323759079,33500,0.5001500000059604,0h25min6s
1534.2886364459991,34000,0.5001500000059604,0h25min34s
