Wall time,Step,mean_reward,time
0.0,500,0.4593302011489868,0h0min0s
42.241621017456055,1000,0.5348485708236694,0h0min42s
70.57765674591064,1500,0.5542929768562317,0h1min10s
101.42817759513855,2000,0.5957220196723938,0h1min41s
148.63909482955933,2500,0.6145833730697632,0h2min28s
171.9767940044403,3000,0.6418182253837585,0h2min51s
191.55434775352478,3500,0.6772727966308594,0h3min11s
212.76319193840027,4000,0.7081819176673889,0h3min32s
236.47892022132874,4500,0.7236364483833313,0h3min56s
256.23110818862915,5000,0.7354546189308167,0h4min16s
267.31361174583435,5500,0.7500001192092896,0h4min27s
271.6827883720398,6000,0.7500001192092896,0h4min31s
282.6328535079956,6500,0.7627273797988892,0h4min42s
290.6263704299927,7000,0.7654546499252319,0h4min50s
297.07295393943787,7500,0.772727370262146,0h4min57s
312.1376967430115,8000,0.7854546308517456,0h5min12s
337.0810112953186,8500,0.8000001311302185,0h5min37s
358.15817523002625,9000,0.8072728514671326,0h5min58s
380.8173613548279,9500,0.8045455813407898,0h6min20s
405.421174287796,10000,0.8100001215934753,0h6min45s
434.7637369632721,10500,0.8172728419303894,0h7min14s
467.9015955924988,11000,0.8145455718040466,0h7min47s
493.66915488243103,11500,0.8290910124778748,0h8min13s
521.3730101585388,12000,0.8372728228569031,0h8min41s
551.476993560791,12500,0.8363637328147888,0h9min11s
576.6605682373047,13000,0.8390910029411316,0h9min36s
601.881534576416,13500,0.8445455431938171,0h10min1s
631.8380663394928,14000,0.8536364436149597,0h10min31s
658.0286231040955,14500,0.8590909838676453,0h10min58s
679.1467134952545,15000,0.8727273344993591,0h11min19s
702.0730092525482,15500,0.8709091544151306,0h11min42s
723.3804688453674,16000,0.8763636946678162,0h12min3s
739.2197575569153,16500,0.8809091448783875,0h12min19s
754.592523097992,17000,0.886363685131073,0h12min34s
780.6776382923126,17500,0.8909091353416443,0h13min0s
