Wall time,Step,Value
1736347357.18829,500,-438.45745849609375
1736347488.4760418,1000,-97.34362030029297
1736347519.8344343,1500,3.5910041332244873
1736347547.9690452,2000,4.106932640075684
1736347548.5299578,2500,4.531600475311279
1736347549.1152246,3000,4.814047336578369
1736347549.6177347,3500,4.919240474700928
1736347550.2009904,4000,4.936534404754639
1736347550.735161,4500,5.041774749755859
1736347551.4636116,5000,5.116090774536133
1736347552.0747714,5500,5.210883617401123
1736347552.6481755,6000,5.190252304077148
1736347553.2383125,6500,5.201597690582275
1736347553.8344672,7000,5.291168689727783
1736347558.3283982,7500,5.188875675201416
1736347558.914487,8000,5.129799842834473
1736347559.4773982,8500,5.221683979034424
1736347560.4204946,9000,5.345683574676514
1736347561.3008196,9500,5.38715124130249
1736347562.083267,10000,5.336545467376709
