Wall time,Step,Value
1736342148.242332,500,-266.52911376953125
1736342223.2503362,1000,-57.546875
1736342251.9527178,1500,-37.219024658203125
1736342258.5308206,2000,-6.747359752655029
1736342278.7882137,2500,3.3802075386047363
1736342280.8655024,3000,3.417663812637329
1736342283.0776196,3500,3.5029516220092773
1736342285.5871477,4000,3.612196445465088
1736342287.8929477,4500,3.6645023822784424
1736342291.1070583,5000,3.6662216186523438
1736342294.7008624,5500,3.6848506927490234
1736342297.4181552,6000,3.6267871856689453
1736342300.4970963,6500,3.6371235847473145
1736342304.3701375,7000,3.6665093898773193
1736342308.1405818,7500,3.6750245094299316
1736342311.599542,8000,3.7023730278015137
1736342315.1607587,8500,3.652517080307007
1736342319.1788576,9000,3.6840052604675293
1736342322.8205237,9500,3.658189296722412
1736342325.918447,10000,3.6471033096313477
