Wall time,Step,Value
1736340711.3947399,500,-247.95298767089844
1736340841.8066065,1000,-57.18830871582031
1736340873.0690289,1500,-26.90501594543457
1736340894.4389734,2000,-6.628592014312744
1736340898.849142,2500,3.677520513534546
1736340922.530125,3000,-6.25717830657959
1736340936.7196739,3500,-5.99411678314209
1736340973.0947804,4000,4.310304641723633
1736340987.3396363,4500,4.750010967254639
1736341000.7331707,5000,4.779270648956299
1736341031.8098729,5500,4.744905948638916
1736341034.677769,6000,4.955300807952881
1736341042.0368638,6500,4.988795757293701
1736341090.7619987,7000,5.1026506423950195
1736341131.3234668,7500,5.2788896560668945
1736341135.403862,8000,5.1734089851379395
1736341195.490134,8500,5.12933874130249
1736341258.4867966,9000,5.297476768493652
1736341326.4186492,9500,5.331394195556641
1736341391.4024296,10000,5.250367164611816
