Wall time,Step,Value
1736331676.0065615,500,-218.70330810546875
1736331689.3903062,1000,-28.172792434692383
1736331690.5979156,1500,-18.096837997436523
1736331691.9066424,2000,-18.07459259033203
1736331693.1622155,2500,2.017244815826416
1736331724.412656,3000,2.0120177268981934
1736331737.786084,3500,-7.985796928405762
1736331738.986219,4000,-17.99184226989746
1736331740.2566888,4500,2.0520524978637695
1736331741.4750006,5000,2.0540144443511963
1736331742.7689788,5500,2.0396430492401123
1736331743.975549,6000,-7.961894512176514
1736331745.9447107,6500,-7.969637870788574
1736331747.2239037,7000,2.0506041049957275
1736331748.4519405,7500,2.0544979572296143
1736331749.6847045,8000,2.05971622467041
1736331751.1880379,8500,2.06489896774292
1736331752.3903408,9000,2.0512325763702393
1736331753.6494458,9500,2.0548605918884277
1736331755.1174488,10000,2.062196969985962
