Wall time,Step,Value
1736331682.4904552,500,-188.8270263671875
1736331683.618086,1000,1.758399248123169
1736331759.0833778,1500,1.8620800971984863
1736331766.6924305,2000,1.952131748199463
1736331768.8760848,2500,-8.055953979492188
1736331770.0461326,3000,1.9700223207473755
1736331771.226259,3500,2.0005319118499756
1736331772.4425795,4000,2.003770351409912
1736331786.5435205,4500,2.0089919567108154
1736331787.759808,5000,2.0103371143341064
1736331788.8866756,5500,2.039663553237915
1736331790.0457375,6000,2.0352730751037598
1736331791.3009388,6500,2.020918130874634
1736331804.5320926,7000,2.0240678787231445
1736331820.6607764,7500,2.0350255966186523
1736331830.8759465,8000,2.0389962196350098
1736331832.0757434,8500,2.0346860885620117
1736331833.2814343,9000,2.042344808578491
1736331834.4887109,9500,2.038809061050415
1736331845.7818244,10000,2.0394508838653564
