Wall time,Step,Value
1736301444.4323769,500,-11.157873153686523
1736302069.314677,1000,660.8341674804688
1736302390.361921,1500,760.9376220703125
1736302566.6399753,2000,700.966796875
1736302738.5049572,2500,801.0382690429688
1736302802.2647648,3000,781.0402221679688
1736302863.6212351,3500,701.028076171875
1736302946.571668,4000,881.0999755859375
1736303028.0627964,4500,941.1925659179688
1736303106.261448,5000,901.1822509765625
1736303164.8968873,5500,921.167236328125
1736303216.2186391,6000,921.1885375976562
1736303248.4930515,6500,921.2002563476562
1736303274.488512,7000,921.174072265625
1736303280.7618105,7500,821.1452026367188
1736303291.2595809,8000,781.1605834960938
1736303311.1799643,8500,821.1962280273438
1736303326.0082273,9000,861.2643432617188
1736303328.0097368,9500,901.337890625
1736303330.541585,10000,901.3607177734375
