Wall time,Step,Value
1736269726.2709355,500,278.559326171875
1736270305.4826095,1000,760.9717407226562
1736270643.6706853,1500,800.9849243164062
1736270873.1059694,2000,681.046142578125
1736271017.4069355,2500,761.1318359375
1736271084.1184409,3000,881.2001953125
1736271285.3831394,3500,821.2646484375
1736271397.2177331,4000,761.2095947265625
1736271460.2234437,4500,641.1669921875
1736271515.207744,5000,681.1826171875
1736271545.56434,5500,661.1307373046875
1736271563.7939487,6000,661.1068115234375
1736271569.9380856,6500,821.1663818359375
1736271580.0783606,7000,881.1842651367188
1736271582.1185918,7500,861.1998901367188
1736271584.1736996,8000,861.2377319335938
1736271594.336119,8500,901.2708740234375
1736271596.370251,9000,901.278564453125
1736271598.4055212,9500,941.32275390625
1736271604.490425,10000,941.3650512695312
