n_steps,time,mean_reward
93,0h1min2s,0.6
242,0h2min5s,0.59
333,0h3min15s,0.62
420,0h4min24s,0.63
529,0h5min28s,0.64
606,0h6min31s,0.63
706,0h7min36s,0.64
819,0h8min53s,0.63
884,0h9min59s,0.64
994,0h11min1s,0.64
1091,0h12min9s,0.65
1283,0h13min12s,0.65
1464,0h14min26s,0.65
1619,0h15min28s,0.68
1763,0h16min29s,0.69
1966,0h17min31s,0.71
2180,0h18min35s,0.72
2346,0h19min42s,0.73
2543,0h20min44s,0.74
2756,0h21min44s,0.73
2906,0h22min46s,0.72
3103,0h23min46s,0.73
3380,0h24min46s,0.74
3648,0h25min48s,0.76
3929,0h26min50s,0.77
4259,0h27min51s,0.79
4542,0h28min51s,0.81
4850,0h29min52s,0.81
5276,0h30min53s,0.82
5686,0h31min54s,0.8
6132,0h32min54s,0.82
6645,0h33min56s,0.84
7228,0h34min56s,0.84
7782,0h35min57s,0.85
8605,0h36min58s,0.87
9361,0h37min58s,0.88
10099,0h39min0s,0.91
11121,0h40min0s,0.9
12389,0h41min1s,0.95
13895,0h42min3s,0.96
15306,0h43min4s,0.97
17142,0h44min4s,0.97
19195,0h45min5s,0.97
