n_steps,time,mean_reward
129,0h1min1s,0.51
234,0h2min13s,0.57
338,0h3min27s,0.6
485,0h4min28s,0.6
586,0h5min29s,0.63
743,0h6min34s,0.64
877,0h7min36s,0.66
1032,0h8min42s,0.68
1175,0h9min45s,0.7
1304,0h10min48s,0.71
1443,0h11min57s,0.72
1659,0h13min0s,0.74
1914,0h14min2s,0.78
2144,0h15min5s,0.8
2436,0h16min8s,0.81
2739,0h17min8s,0.83
3132,0h18min9s,0.83
3524,0h19min11s,0.85
3922,0h20min12s,0.85
4329,0h21min12s,0.86
4766,0h22min13s,0.88
5195,0h23min13s,0.91
5625,0h24min22s,0.92
6115,0h25min23s,0.93
6690,0h26min23s,0.94
7316,0h27min24s,0.94
7994,0h28min24s,0.95
8726,0h29min24s,0.96
9431,0h30min25s,0.98
10299,0h31min26s,0.98
11383,0h32min26s,0.99
12432,0h33min27s,1.0
13355,0h34min27s,0.98
14424,0h35min27s,0.98
15341,0h36min27s,0.99
16307,0h37min27s,1.0
17486,0h38min29s,0.99
18788,0h39min29s,1.0
20157,0h40min29s,1.0
21935,0h41min29s,1.0
24060,0h42min29s,1.0
25555,0h43min30s,1.0
26767,0h44min31s,0.99
27934,0h45min31s,0.99
