n_steps,time,mean_reward
75,0h1min0s,0.57
183,0h2min11s,0.57
359,0h3min12s,0.54
562,0h4min12s,0.58
780,0h5min18s,0.62
917,0h6min23s,0.62
1088,0h7min33s,0.66
1279,0h8min37s,0.68
1436,0h9min38s,0.72
1667,0h10min39s,0.72
1838,0h11min45s,0.72
2073,0h12min45s,0.73
2254,0h13min46s,0.73
2517,0h14min46s,0.75
2757,0h15min47s,0.78
3104,0h16min48s,0.8
3415,0h17min49s,0.82
3776,0h18min52s,0.85
4231,0h19min52s,0.86
4646,0h20min52s,0.89
5181,0h21min53s,0.91
5691,0h22min55s,0.94
6141,0h23min59s,0.92
6544,0h25min1s,0.91
7232,0h26min2s,0.9
7886,0h27min3s,0.93
8638,0h28min4s,0.95
9407,0h29min4s,0.96
10160,0h30min6s,0.97
11348,0h31min6s,0.98
12319,0h32min7s,0.98
13451,0h33min7s,0.98
14984,0h34min7s,0.97
16559,0h35min8s,0.97
18230,0h36min8s,0.99
19897,0h37min8s,0.99
22021,0h38min8s,0.99
24231,0h39min9s,0.99
26639,0h40min9s,0.98
29855,0h41min9s,1.0
34673,0h42min10s,0.99
39411,0h43min11s,1.0
42542,0h44min11s,0.99
46371,0h45min11s,0.98
