n_steps,time,mean_reward
474,0h1min5s,0.3
877,0h2min10s,0.28
7030,0h3min39s,0.3
7765,0h4min39s,0.27
8613,0h5min43s,0.27
9376,0h6min46s,0.26
12821,0h8min0s,0.28
15976,0h9min3s,0.27
22182,0h10min20s,0.28
28282,0h11min43s,0.29
31457,0h12min47s,0.29
37535,0h14min10s,0.29
43537,0h15min18s,0.3
49752,0h16min49s,0.3
55754,0h17min59s,0.3
61756,0h19min8s,0.3
68042,0h20min38s,0.31
74044,0h21min47s,0.31
77150,0h22min49s,0.31
80455,0h23min54s,0.32
83823,0h25min20s,0.32
89825,0h26min32s,0.32
95827,0h27min46s,0.32
99025,0h28min51s,0.33
102130,0h29min56s,0.33
108258,0h31min30s,0.33
114307,0h32min56s,0.34
117610,0h34min6s,0.34
123711,0h35min32s,0.35
126886,0h36min41s,0.35
129975,0h37min42s,0.36
135977,0h38min57s,0.37
139238,0h40min0s,0.37
142298,0h41min0s,0.37
145713,0h42min2s,0.37
