n_steps,time,mean_reward
346,0h1min0s,0.37
3347,0h2min59s,0.39
3626,0h4min3s,0.34
6627,0h6min29s,0.36
6990,0h7min34s,0.35
9991,0h9min32s,0.37
13047,0h11min4s,0.36
13286,0h12min7s,0.32
16287,0h13min36s,0.32
19807,0h15min30s,0.32
22808,0h17min54s,0.32
25809,0h19min55s,0.32
28810,0h21min55s,0.32
31811,0h24min14s,0.32
34812,0h26min27s,0.32
37927,0h28min23s,0.33
38627,0h29min31s,0.33
41628,0h31min44s,0.33
44629,0h34min4s,0.33
48122,0h37min0s,0.34
51729,0h39min56s,0.34
55065,0h42min51s,0.34
