n_steps,time,mean_reward
5,0h1min13s,0.33
10,0h3min33s,0.23
23,0h5min3s,0.25
33,0h6min6s,0.24
45,0h7min23s,0.27
56,0h8min26s,0.33
63,0h9min41s,0.35
81,0h10min50s,0.38
89,0h12min18s,0.4
97,0h13min21s,0.41
118,0h14min38s,0.43
130,0h18min49s,0.43
139,0h19min50s,0.45
164,0h20min55s,0.45
190,0h22min8s,0.46
210,0h23min22s,0.45
222,0h24min29s,0.45
242,0h27min52s,0.46
252,0h29min15s,0.46
262,0h30min25s,0.45
283,0h31min46s,0.46
306,0h33min9s,0.46
325,0h34min49s,0.47
359,0h35min54s,0.47
368,0h39min12s,0.47
422,0h40min13s,0.47
460,0h43min26s,0.48
483,0h44min32s,0.48
1115,0h46min11s,0.5
1973,0h47min14s,0.5
2961,0h48min40s,0.5
4950,0h49min50s,0.5
