Wall time,Step,mean_reward,time
0.0,500,0.272088348865509,0h0min0s
305.74345111846924,1000,0.3058333098888397,0h5min5s
360.01812171936035,1500,0.3666666448116302,0h6min0s
456.0949583053589,2000,0.4200000166893005,0h7min36s
489.22545099258423,2500,0.4433333575725555,0h8min9s
521.0874311923981,3000,0.4600000083446502,0h8min41s
561.891676902771,3500,0.480833351612091,0h9min21s
595.514096736908,4000,0.4933333396911621,0h9min55s
630.8290693759918,4500,0.5224999785423279,0h10min30s
653.4192247390747,5000,0.5458333492279053,0h10min53s
670.406017780304,5500,0.5600000023841858,0h11min10s
