n_steps,time,mean_reward
3,0h2min5s,0.25
7,0h3min16s,0.29
16,0h4min56s,0.42
25,0h7min24s,0.37
30,0h11min0s,0.32
33,0h12min10s,0.31
39,0h14min52s,0.3
41,0h15min56s,0.3
50,0h17min14s,0.3
68,0h18min18s,0.28
79,0h19min26s,0.3
91,0h22min5s,0.31
110,0h23min35s,0.32
127,0h26min11s,0.31
150,0h27min23s,0.32
190,0h31min39s,0.31
201,0h33min14s,0.32
235,0h34min55s,0.33
245,0h36min41s,0.34
253,0h38min32s,0.34
270,0h39min52s,0.35
288,0h41min9s,0.36
315,0h42min36s,0.37
336,0h44min31s,0.37
433,0h46min24s,0.38
480,0h48min9s,0.38
507,0h50min3s,0.39
575,0h51min17s,0.4
637,0h52min26s,0.41
917,0h53min40s,0.43
1247,0h54min40s,0.43
3252,0h55min50s,0.44
21379,1h5min10s,0.44
