n_steps,time,mean_reward
3046,0h1min19s,0.36
6223,0h2min43s,0.36
9428,0h3min47s,0.28
12429,0h5min12s,0.29
15505,0h6min13s,0.28
18987,0h9min11s,0.33
21988,0h11min2s,0.34
25055,0h13min3s,0.34
28181,0h15min34s,0.33
31182,0h17min39s,0.34
34226,0h18min39s,0.33
37324,0h20min20s,0.32
43326,0h23min5s,0.33
46327,0h25min18s,0.34
49350,0h26min48s,0.33
52351,0h28min31s,0.34
55542,0h31min14s,0.33
61578,0h34min10s,0.33
64698,0h35min15s,0.33
67699,0h36min37s,0.33
70700,0h38min32s,0.34
71345,0h39min33s,0.34
74502,0h41min45s,0.34
77503,0h42min57s,0.34
80917,0h44min57s,0.35
82449,0h45min59s,0.35
