Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.0,0h0min0s,-999.9758911132812
842.6074554920197,1000,0.0,0h14min2s,-999.9478149414062
1143.5009479522705,1500,0.0,0h19min3s,-999.9354858398438
1397.8470640182495,2000,0.0,0h23min17s,-999.9320068359376
1624.568904876709,2500,0.0,0h27min4s,-999.9228515625
1765.3129079341888,3000,0.01,0h29min25s,-979.8954467773438
1917.3557286262512,3500,0.03,0h31min57s,-939.8857421875
2104.09134721756,4000,0.52,0h35min4s,40.13441848754883
2215.9752366542816,4500,0.77,0h36min55s,540.2308959960938
2387.4403722286224,5000,0.8,0h39min47s,600.2529296875
2482.613436937332,5500,0.91,0h41min22s,820.27587890625
2591.17275094986,6000,0.92,0h43min11s,840.2506713867188
2692.334197998047,6500,0.88,0h44min52s,760.2393798828125
2792.312911748886,7000,0.93,0h46min32s,860.2593383789062
2891.8650426864624,7500,0.94,0h48min11s,880.263427734375
2992.836546897888,8000,0.94,0h49min52s,880.265869140625
3091.9389748573303,8500,0.96,0h51min31s,920.2918090820312
3190.6219975948334,9000,0.98,0h53min10s,960.2930297851562
3288.766783952713,9500,0.98,0h54min48s,960.2979125976562
3388.151124954224,10000,0.93,0h56min28s,860.2775268554688
3487.1519134044647,10500,0.94,0h58min7s,880.286376953125
3584.8378620147705,11000,0.98,0h59min44s,960.2970581054688
3683.0607302188873,11500,0.98,1h1min23s,960.307373046875
3780.639699935913,12000,1.0,1h3min0s,1000.2835693359376
3876.606384754181,12500,0.98,1h4min36s,960.3037719726562
3973.2460448741913,13000,0.95,1h6min13s,900.2969360351562
4068.8407468795776,13500,0.98,1h7min48s,960.289794921875
4165.038937807083,14000,0.96,1h9min25s,920.2598266601562
4261.856097221375,14500,0.97,1h11min1s,940.2532958984376
4358.914840459824,15000,0.99,1h12min38s,980.2943725585938
4455.4582097530365,15500,0.99,1h14min15s,980.296142578125
4549.7975816726685,16000,1.0,1h15min49s,1000.3082275390624
4644.963335514069,16500,0.99,1h17min24s,980.3054809570312
4740.327045679092,17000,0.98,1h19min0s,960.3003540039062
4834.560765028,17500,1.0,1h20min34s,1000.3059692382812
4929.814181804657,18000,1.0,1h22min9s,1000.30126953125
5024.582602024078,18500,0.99,1h23min44s,980.3009643554688
5120.162386655808,19000,1.0,1h25min20s,1000.3111572265624
5214.935964584351,19500,1.0,1h26min54s,1000.3043823242188
5309.924799203873,20000,0.99,1h28min29s,980.3035278320312
