Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.52,0h0min0s,-799.9478149414062
4975.811971664429,1000,0.41,1h22min55s,-199.92095947265625
8372.74148106575,1500,0.51,2h19min32s,20.07902908325196
9684.156890153885,2000,0.75,2h41min24s,500.08599853515625
10346.206801652908,2500,0.79,2h52min26s,580.0838623046875
11168.735109329224,3000,0.81,3h6min8s,620.0859985351562
11788.73758673668,3500,0.83,3h16min28s,660.0831298828125
12223.281831026075,4000,0.88,3h23min43s,760.0797119140625
12313.97577881813,4500,0.92,3h25min13s,840.0769653320312
12480.8206884861,5000,0.89,3h28min0s,780.0810546875
12603.270325183868,5500,0.94,3h30min3s,880.0839233398438
12694.106665611269,6000,0.96,3h31min34s,920.0830078125
12785.586916446686,6500,0.98,3h33min5s,960.0830078125
12876.682493686676,7000,0.96,3h34min36s,920.0836181640624
12965.056160211563,7500,0.93,3h36min5s,860.0844116210938
13055.5331594944,8000,0.93,3h37min35s,860.087646484375
13145.577528953552,8500,0.91,3h39min5s,820.0882568359375
13235.876008987429,9000,0.93,3h40min35s,860.0908813476562
13477.6355676651,9500,0.96,3h44min37s,920.0930786132812
13563.519667387009,10000,0.95,3h46min3s,900.0961303710938
13651.981664180756,10500,0.95,3h47min31s,900.094482421875
13744.383681058884,11000,0.94,3h49min4s,880.0894775390625
13831.984860181808,11500,0.96,3h50min31s,920.09326171875
13921.48182106018,12000,0.95,3h52min1s,900.0922241210938
14010.05831003189,12500,0.94,3h53min30s,880.0938110351562
14097.019826889038,13000,0.91,3h54min57s,820.0947265625
14219.654294490814,13500,0.9,3h56min59s,800.0999755859375
14307.299118995668,14000,0.94,3h58min27s,880.0949096679688
14392.489250421524,14500,0.96,3h59min52s,920.1000366210938
14482.232673883438,15000,1.0,4h1min22s,1000.0958251953124
