Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.4,0h0min0s,-599.951904296875
5508.6544489860535,1000,0.42,1h31min48s,-159.91842651367188
7491.460778236389,1500,0.6,2h4min51s,200.0780029296875
8136.948039770126,2000,0.72,2h15min36s,440.0740966796875
8618.325283765793,2500,0.81,2h23min38s,620.0794677734375
8873.546049833298,3000,0.8,2h27min53s,600.08056640625
8967.427590608597,3500,0.85,2h29min27s,700.0782470703125
9128.030465364456,4000,0.88,2h32min8s,760.0790405273438
9219.299696922302,4500,0.88,2h33min39s,760.0791625976562
9312.727341890337,5000,0.89,2h35min12s,780.0786743164062
9404.776068210602,5500,0.91,2h36min44s,820.079833984375
9493.82124376297,6000,0.94,2h38min13s,880.0775756835938
9583.029302358627,6500,0.97,2h39min43s,940.0796508789062
9673.137978315352,7000,0.97,2h41min13s,940.0805053710938
9760.8513276577,7500,0.97,2h42min40s,940.0796508789062
9847.38916683197,8000,0.98,2h44min7s,960.0785522460938
9935.77168083191,8500,0.99,2h45min35s,980.0779418945312
10024.752736330032,9000,0.97,2h47min4s,940.0778198242188
10112.297669649124,9500,0.99,2h48min32s,980.0781860351562
10203.169737815855,10000,1.0,2h50min3s,1000.0787353515624
10292.921219825745,10500,0.97,2h51min32s,940.078857421875
10382.11684179306,11000,1.0,2h53min2s,1000.0783081054688
10471.522129297256,11500,0.99,2h54min31s,980.0771484375
10559.403591632845,12000,1.0,2h55min59s,1000.07861328125
10647.33411693573,12500,1.0,2h57min27s,1000.0790405273438
10735.263209104538,13000,0.98,2h58min55s,960.0794677734376
10824.235654354095,13500,0.97,3h0min24s,940.0779418945312
10959.857858181,14000,0.99,3h2min39s,980.0779418945312
11047.459218740463,14500,0.99,3h4min7s,980.0802612304688
11134.463791847227,15000,0.98,3h5min34s,960.0830078125
