n_steps,time,mean_reward
73,0h2min24s,0.52
164,0h4min3s,0.54
308,0h5min50s,0.46
330,0h7min15s,0.47
726,0h8min16s,0.55
1377,0h9min17s,0.59
1597,0h10min49s,0.59
2570,0h11min52s,0.62
3194,0h12min56s,0.62
4604,0h13min59s,0.65
6021,0h15min6s,0.68
6975,0h16min10s,0.73
7664,0h17min12s,0.74
8430,0h18min19s,0.77
9362,0h19min21s,0.78
10126,0h20min23s,0.8
11362,0h21min24s,0.8
12742,0h22min27s,0.81
13571,0h23min28s,0.81
14605,0h24min29s,0.82
15446,0h25min30s,0.81
16136,0h26min32s,0.81
17072,0h27min34s,0.82
18176,0h28min35s,0.84
19334,0h29min39s,0.84
20651,0h30min42s,0.84
21627,0h31min43s,0.85
22439,0h32min46s,0.86
