Wall time,Step,Value
1736426828.6680875,500,-213.24942016601562
1736427064.0649464,1000,-97.5606689453125
1736427146.9293404,1500,-16.846487045288086
1736427230.4837353,2000,3.456376075744629
1736427386.6860542,2500,3.6720757484436035
1736427443.806155,3000,4.048923015594482
1736427487.620017,3500,4.2946577072143555
1736427521.814445,4000,4.341300010681152
1736427547.0733423,4500,4.502077579498291
1736427550.3819416,5000,4.623137474060059
1736427553.9131656,5500,4.584278583526611
1736427569.5310671,6000,4.605770587921143
1736427572.622575,6500,4.75770902633667
1736427575.5558162,7000,4.870403289794922
1736427580.7844424,7500,4.875269889831543
1736427583.7898903,8000,4.933507442474365
1736427602.4527457,8500,5.062297344207764
1736427612.008502,9000,5.053358554840088
1736427619.6222856,9500,5.061092853546143
1736427623.3440015,10000,5.117239952087402
