n_steps,time,mean_reward
3244,0h1min3s,0.33
9486,0h2min25s,0.33
15573,0h3min39s,0.36
21575,0h4min45s,0.37
24863,0h5min49s,0.35
30865,0h6min55s,0.35
36867,0h8min1s,0.36
42907,0h9min14s,0.36
46643,0h10min22s,0.35
52734,0h11min53s,0.34
56008,0h12min58s,0.34
62010,0h14min6s,0.34
68012,0h15min16s,0.34
71273,0h16min16s,0.34
74554,0h17min17s,0.34
80692,0h18min35s,0.35
86694,0h19min44s,0.36
92696,0h20min53s,0.36
96211,0h21min55s,0.36
99844,0h23min8s,0.36
103040,0h24min16s,0.36
103896,0h25min25s,0.36
107888,0h26min50s,0.37
108542,0h27min57s,0.37
108942,0h29min0s,0.38
112101,0h30min1s,0.38
115258,0h31min6s,0.39
118527,0h32min16s,0.39
121788,0h33min19s,0.39
124999,0h34min23s,0.39
128626,0h35min38s,0.4
