n_steps,time,mean_reward
11,0h1min26s,0.43
13,0h4min38s,0.36
19,0h5min43s,0.4
31,0h6min59s,0.39
49,0h8min49s,0.34
81,0h10min23s,0.32
113,0h11min25s,0.35
128,0h12min26s,0.36
142,0h13min53s,0.36
158,0h14min56s,0.36
182,0h16min9s,0.36
214,0h17min42s,0.38
245,0h18min51s,0.38
274,0h20min19s,0.38
305,0h21min36s,0.38
343,0h22min40s,0.4
386,0h23min45s,0.4
451,0h24min53s,0.41
491,0h26min16s,0.41
638,0h27min17s,0.41
810,0h28min18s,0.41
2871,0h29min20s,0.43
25963,0h39min20s,0.44
117577,1h19min48s,0.44
