n_steps,time,mean_reward
3156,0h1min1s,0.31
6340,0h2min1s,0.33
9607,0h3min2s,0.35
12853,0h4min16s,0.31
16030,0h5min17s,0.32
22130,0h6min36s,0.32
25488,0h7min39s,0.33
31572,0h9min5s,0.32
37574,0h10min12s,0.33
41229,0h11min27s,0.34
47231,0h12min38s,0.34
53260,0h13min53s,0.34
59262,0h15min2s,0.35
65264,0h16min11s,0.35
68400,0h17min15s,0.34
74446,0h18min34s,0.34
80448,0h19min45s,0.35
86450,0h20min54s,0.35
92452,0h22min3s,0.35
98531,0h23min21s,0.36
104569,0h24min39s,0.36
107886,0h25min41s,0.36
111065,0h26min42s,0.36
117131,0h28min11s,0.36
123159,0h29min34s,0.36
129281,0h31min0s,0.37
135325,0h32min28s,0.37
141327,0h33min44s,0.37
147399,0h35min15s,0.37
150623,0h36min26s,0.37
156625,0h37min44s,0.37
156986,0h38min51s,0.38
163043,0h40min13s,0.38
169045,0h41min32s,0.38
175047,0h42min56s,0.38
181367,0h44min41s,0.39
