n_steps,time,mean_reward
9002,0h1min19s,0.43
18026,0h2min43s,0.41
27029,0h4min1s,0.39
36032,0h5min20s,0.41
45035,0h6min39s,0.42
54038,0h7min58s,0.43
63078,0h9min22s,0.43
69211,0h10min24s,0.43
78258,0h11min48s,0.43
87295,0h13min11s,0.43
96385,0h14min37s,0.44
102533,0h15min48s,0.42
111576,0h17min14s,0.43
117721,0h18min17s,0.42
126763,0h19min42s,0.43
135766,0h21min3s,0.43
142001,0h22min3s,0.43
151004,0h23min24s,0.43
157165,0h24min27s,0.43
166168,0h25min48s,0.44
172478,0h27min8s,0.43
178588,0h28min11s,0.43
187591,0h29min31s,0.43
196673,0h30min57s,0.44
205743,0h32min23s,0.44
