n_steps,time,mean_reward
279,0h1min0s,0.58
647,0h2min1s,0.7
1036,0h3min1s,0.75
1450,0h4min2s,0.87
1818,0h5min3s,0.88
2271,0h6min4s,0.89
2780,0h7min6s,0.89
3340,0h8min7s,0.93
3870,0h9min8s,0.94
4406,0h10min8s,0.93
5035,0h11min9s,0.94
5758,0h12min10s,0.96
6376,0h13min11s,0.96
6972,0h14min11s,0.98
7729,0h15min12s,0.96
8782,0h16min12s,0.96
10218,0h17min13s,0.99
11916,0h18min14s,0.99
13457,0h19min14s,0.99
14817,0h20min14s,0.99
16844,0h21min14s,1.0
18918,0h22min15s,0.99
23277,0h23min15s,1.0
28175,0h24min15s,1.0
34668,0h25min16s,1.0
49359,0h26min16s,1.0
71440,0h27min16s,0.99
95792,0h28min16s,1.0
141589,0h29min16s,1.0
181154,0h30min17s,1.0
208259,0h31min17s,1.0
242131,0h32min17s,1.0
