n_steps,time,mean_reward
234,0h1min0s,0.46
531,0h2min0s,0.58
902,0h3min3s,0.66
1258,0h4min4s,0.78
1712,0h5min5s,0.83
2118,0h6min6s,0.85
2654,0h7min7s,0.9
3317,0h8min8s,0.93
4042,0h9min8s,0.9
4730,0h10min8s,0.92
5263,0h11min9s,0.95
6027,0h12min10s,0.97
6632,0h13min10s,0.96
7564,0h14min10s,0.94
8282,0h15min11s,0.97
9243,0h16min11s,0.98
10300,0h17min11s,0.98
12445,0h18min11s,0.97
13940,0h19min12s,0.97
15076,0h20min12s,0.98
16441,0h21min13s,0.97
18204,0h22min13s,0.99
20290,0h23min14s,0.99
23864,0h24min14s,0.97
25757,0h25min14s,1.0
29692,0h26min15s,0.99
33911,0h27min15s,1.0
37500,0h28min16s,0.98
41997,0h29min16s,1.0
48534,0h30min16s,1.0
56157,0h31min16s,1.0
64310,0h32min17s,1.0
