n_steps,time,mean_reward
3000,0h2min6s,0.31
6001,0h4min22s,0.44
12003,0h7min42s,0.47
15004,0h9min11s,0.44
18005,0h11min35s,0.44
21006,0h13min17s,0.44
24007,0h15min27s,0.42
27044,0h16min33s,0.4
30045,0h18min52s,0.39
33046,0h20min52s,0.39
36047,0h23min19s,0.4
39048,0h25min10s,0.4
42049,0h27min48s,0.4
45050,0h30min41s,0.41
48051,0h33min11s,0.41
51052,0h35min24s,0.42
54053,0h37min46s,0.42
57054,0h40min12s,0.42
60055,0h43min1s,0.42
63056,0h45min43s,0.41
69058,0h48min46s,0.41
72059,0h50min47s,0.42
78096,0h53min28s,0.42
