n_steps,time,mean_reward
1,0h1min17s,0.33
9,0h3min18s,0.28
15,0h4min35s,0.42
20,0h6min0s,0.36
27,0h7min37s,0.3
43,0h9min55s,0.32
46,0h11min0s,0.33
56,0h12min35s,0.35
71,0h13min38s,0.35
77,0h15min47s,0.36
92,0h17min23s,0.39
107,0h18min32s,0.39
116,0h20min8s,0.38
136,0h21min38s,0.39
146,0h22min40s,0.37
164,0h24min25s,0.38
169,0h25min49s,0.38
196,0h27min41s,0.39
264,0h29min4s,0.38
289,0h30min6s,0.38
326,0h31min7s,0.39
362,0h32min17s,0.39
395,0h35min3s,0.39
420,0h36min41s,0.41
526,0h40min10s,0.41
1042,0h42min11s,0.4
3741,0h46min1s,0.4
