n_steps,time,mean_reward
151,0h1min0s,0.7
304,0h2min14s,0.72
398,0h3min16s,0.7
645,0h4min18s,0.73
850,0h5min21s,0.76
1145,0h6min21s,0.78
1462,0h7min29s,0.83
1802,0h8min30s,0.86
2140,0h9min30s,0.85
2506,0h10min31s,0.86
2943,0h11min32s,0.86
3367,0h12min33s,0.88
3886,0h13min33s,0.9
4306,0h14min36s,0.89
4733,0h15min37s,0.91
5167,0h16min37s,0.93
5524,0h17min39s,0.95
5959,0h18min41s,0.95
6412,0h19min41s,0.93
6914,0h20min41s,0.93
7360,0h21min41s,0.93
7925,0h22min41s,0.94
8464,0h23min42s,0.96
8993,0h24min43s,0.98
9576,0h25min43s,0.98
10170,0h26min44s,0.97
10728,0h27min45s,0.99
11427,0h28min45s,0.99
12113,0h29min45s,0.98
12824,0h30min46s,0.98
13511,0h31min47s,0.99
14271,0h32min47s,0.99
14996,0h33min48s,0.99
15726,0h34min49s,0.98
16818,0h35min49s,0.98
18718,0h36min50s,0.99
20763,0h37min51s,0.98
23548,0h38min51s,0.99
28536,0h39min53s,1.0
32616,0h40min53s,1.0
35890,0h41min54s,1.0
41173,0h42min54s,1.0
49743,0h43min54s,1.0
56770,0h44min54s,1.0
65194,0h45min54s,0.99
74270,0h46min54s,0.99
