n_steps,time,mean_reward
166,0h1min0s,0.56
328,0h2min8s,0.67
583,0h3min11s,0.68
904,0h4min11s,0.72
1235,0h5min12s,0.76
1584,0h6min12s,0.78
1996,0h7min13s,0.83
2354,0h8min14s,0.85
2756,0h9min14s,0.87
3174,0h10min17s,0.88
3535,0h11min18s,0.89
3986,0h12min18s,0.93
4670,0h13min18s,0.95
5364,0h14min19s,0.96
6187,0h15min20s,0.96
7226,0h16min21s,0.98
8346,0h17min21s,0.96
9567,0h18min22s,0.96
11132,0h19min22s,0.98
12927,0h20min22s,0.99
15347,0h21min22s,0.99
19543,0h22min22s,0.99
23512,0h23min22s,0.99
28900,0h24min22s,0.99
32839,0h25min23s,1.0
42745,0h26min23s,1.0
58501,0h27min23s,1.0
77890,0h28min23s,1.0
110919,0h29min23s,1.0
148469,0h30min23s,1.0
181921,0h31min24s,1.0
211259,0h32min24s,1.0
236606,0h33min24s,1.0
252081,0h34min24s,1.0
273995,0h35min24s,1.0
318457,0h36min24s,1.0
359797,0h37min24s,1.0
394026,0h38min24s,1.0
436315,0h39min24s,1.0
470608,0h40min24s,1.0
495918,0h41min24s,1.0
522238,0h42min24s,1.0
543207,0h43min24s,1.0
572991,0h44min24s,1.0
597011,0h45min24s,1.0
620242,0h46min24s,1.0
