Wall time,Step,mean_reward,time
0.0,500,0.4596153795719147,0h0min0s
62.478795289993286,1000,0.4965116381645202,0h1min2s
107.59151577949524,1500,0.5540000200271606,0h1min47s
143.07990908622742,2000,0.6129999756813049,0h2min23s
192.66264820098877,2500,0.6549999713897705,0h3min12s
219.65610313415527,3000,0.6909999847412109,0h3min39s
242.5568253993988,3500,0.7210000157356262,0h4min2s
268.5349009037018,4000,0.7559999823570251,0h4min28s
290.2036712169647,4500,0.7770000100135803,0h4min50s
304.4758276939392,5000,0.781000018119812,0h5min4s
320.2556619644165,5500,0.7799999713897705,0h5min20s
343.59090209007263,6000,0.7990000247955322,0h5min43s
360.88161277770996,6500,0.8149999976158142,0h6min0s
376.2275056838989,7000,0.8130000233650208,0h6min16s
397.1244993209839,7500,0.8429999947547913,0h6min37s
417.4612681865692,8000,0.8389999866485596,0h6min57s
426.0675616264343,8500,0.8370000123977661,0h7min6s
434.1831569671631,9000,0.8379999995231628,0h7min14s
437.40657567977905,9500,0.8379999995231628,0h7min17s
445.1455228328705,10000,0.8410000205039978,0h7min25s
448.2405276298523,10500,0.8429999947547913,0h7min28s
462.14560627937317,11000,0.8399999737739563,0h7min42s
467.1847231388092,11500,0.8389999866485596,0h7min47s
474.8003134727478,12000,0.8299999833106995,0h7min54s
483.07254433631897,12500,0.8330000042915344,0h8min3s
485.4333231449127,13000,0.8349999785423279,0h8min5s
499.8618793487549,13500,0.8429999947547913,0h8min19s
512.5963253974915,14000,0.8429999947547913,0h8min32s
525.3612492084503,14500,0.8519999980926514,0h8min45s
539.8516554832458,15000,0.8610000014305115,0h8min59s
548.8529152870178,15500,0.8550000190734863,0h9min8s
