n_steps,time,mean_reward
4,0h1min0s,0.11
10,0h2min2s,0.19
20,0h9min36s,0.22
24,0h10min41s,0.27
32,0h14min14s,0.25
38,0h16min1s,0.3
42,0h20min13s,0.3
58,0h21min34s,0.31
67,0h23min19s,0.34
78,0h24min38s,0.33
92,0h26min34s,0.32
137,0h28min39s,0.3
155,0h29min59s,0.31
177,0h31min18s,0.31
214,0h32min51s,0.28
243,0h33min53s,0.28
267,0h35min25s,0.27
289,0h36min39s,0.28
307,0h38min14s,0.28
310,0h41min38s,0.28
388,0h42min51s,0.27
448,0h45min1s,0.27
631,0h46min12s,0.24
703,0h47min24s,0.24
940,0h48min28s,0.25
1317,0h49min59s,0.26
2117,0h52min24s,0.25
2492,0h53min29s,0.24
3068,0h55min7s,0.24
