n_steps,time,mean_reward
1,0h2min42s,0.17
4,0h4min9s,0.42
5,0h7min20s,0.28
17,0h8min26s,0.29
24,0h9min37s,0.32
37,0h11min1s,0.34
48,0h12min5s,0.33
50,0h15min15s,0.32
63,0h16min29s,0.31
78,0h17min34s,0.35
95,0h18min49s,0.35
106,0h22min27s,0.32
131,0h23min46s,0.32
153,0h24min55s,0.32
171,0h25min55s,0.32
173,0h29min18s,0.32
203,0h33min35s,0.32
213,0h34min45s,0.33
228,0h36min1s,0.33
252,0h37min13s,0.32
287,0h39min16s,0.34
313,0h43min31s,0.32
326,0h44min53s,0.33
330,0h48min4s,0.32
368,0h49min13s,0.32
411,0h50min40s,0.32
438,0h51min59s,0.32
466,0h53min23s,0.32
476,0h57min24s,0.32
494,0h58min43s,0.32
530,0h59min45s,0.32
582,1h0min56s,0.32
631,1h2min33s,0.33
677,1h4min9s,0.33
748,1h5min30s,0.33
986,1h6min55s,0.34
1525,1h8min35s,0.35
