n_steps,time,mean_reward
264,0h1min1s,0.56
602,0h2min3s,0.61
961,0h3min4s,0.66
1329,0h4min5s,0.73
1730,0h5min6s,0.76
2176,0h6min7s,0.8
2638,0h7min8s,0.82
3175,0h8min9s,0.85
3723,0h9min10s,0.88
4283,0h10min11s,0.89
4908,0h11min12s,0.91
5552,0h12min13s,0.9
6171,0h13min14s,0.91
6803,0h14min15s,0.92
7537,0h15min15s,0.92
8383,0h16min15s,0.91
9393,0h17min15s,0.93
10392,0h18min16s,0.94
11677,0h19min16s,0.94
13391,0h20min16s,0.94
15281,0h21min16s,0.95
17760,0h22min18s,0.96
22177,0h23min18s,0.98
36836,0h24min19s,1.0
55179,0h25min19s,1.0
93784,0h26min19s,0.99
140909,0h27min19s,1.0
199816,0h28min19s,1.0
260739,0h29min19s,1.0
313537,0h30min19s,1.0
374897,0h31min19s,1.0
430836,0h32min19s,1.0
